time,force,force_increment
0,0,0
0.3,2347.3346829019,2347.3346829019
0.6,4693.4983298633,2346.1636469614
0.9,7038.4889351468,2344.9906052834
1.2,9382.312795587,2343.8238604402
1.5,11724.967830528,2342.6550349415
1.8,14066.454703146,2341.4868726173
2.1,16406.774162814,2340.3194596679
2.4,18745.926934595,2339.1527717812
2.7,21077.04955099,2331.1226163955
3,23280.368929343,2203.3193783529
3.3,24896.051114764,1615.6821854211
3.6,25417.855551201,521.80443643636
3.9,25717.140213829,299.28466262818
4.2,25933.072419845,215.93220601592
4.5,26119.358004525,186.2855846802
4.8,26285.547017835,166.18901330991
5.1,26436.005553252,150.45853541662
5.4,26577.618757307,141.61320405519
5.7,26714.660444214,137.04168690686
6,26847.548618759,132.88817454566
6.3,26977.02475247,129.47613371071
6.6,27103.41304716,126.38829469035
6.9,27226.864082266,123.45103510587
7.2,27347.515149134,120.65106686831
7.5,27465.451771277,117.93662214274
7.8,27580.562681258,115.11090998087
8.1,27693.218044285,112.65536302685
8.4,27803.452212154,110.23416786878
8.7,27911.560453338,108.10824118384
9,28017.865201284,106.30474794641
9.3,28122.930921807,105.06572052289
9.6,28226.527823192,103.59690138473
9.9,28328.897830717,102.37000752494
10.2,28429.355213463,100.45738274629
10.5,28528.581210583,99.225997120076
10.8,28626.322822399,97.741611816455
11.1,28722.62622995,96.303407550698
11.4,28817.501177864,94.874947914192
11.7,28911.057751235,93.556573370501
12,29003.161085527,92.103334292733
12.3,29093.84396932,90.682883792866
12.6,29183.246255694,89.402286373766
12.9,29271.068075574,87.821819879511
13.2,29357.54532462,86.477249045922
13.5,29442.555112892,85.009788272248
13.8,29526.307936717,83.752823825173
14.1,29608.542536675,82.234599958476
14.4,29689.440648212,80.898111536968
14.7,29769.314877514,79.87422930132
15,29848.15399937,78.839121856399
15.3,29925.964762823,77.810763452588
15.6,30002.803487425,76.838724602225
15.9,30078.678724759,75.87523733401
16.2,30153.59124805,74.912523291452
16.5,30227.571339551,73.980091500358
16.8,30300.53372845,72.962388899017
17.1,30372.682463506,72.148735056675
17.4,30443.92948178,71.247018273989
17.7,30514.289980517,70.360498736234
18,30583.76467421,69.474693692828
18.3,30652.388180277,68.623506067161
18.6,30720.149899047,67.761718770547
18.9,30787.053775454,66.903876406854
19.2,30853.117317183,66.063541729323
19.5,30918.359497051,65.242179867317
19.8,30982.806105924,64.446608873004
20.1,31046.413509191,63.607403267244
20.4,31109.204440126,62.790930935185
20.7,31171.216379361,62.01193923485
21,31232.490177231,61.273797869791
21.3,31292.937431972,60.447254741339
21.6,31352.581666707,59.64423473482
21.9,31411.469807801,58.888141093736
22.2,31469.632339069,58.162531268299
22.5,31527.03768835,57.40534928058
22.8,31583.605330557,56.567642207556
23.1,31639.447960074,55.842629516777
23.4,31694.584089296,55.136129221828
23.7,31748.873994945,54.289905649308
24,31802.551921984,53.677927038992
24.3,31855.648236625,53.096314640534
24.6,31908.041863488,52.393626863817
24.9,31959.915240849,51.873377360822
25.2,32011.198464631,51.283223781917
25.5,32061.904604727,50.706140096165
25.8,32112.036931943,50.132327216004
26.1,32161.601717321,49.56478537793
26.4,32210.606541267,49.004823945605
26.7,32259.064077323,48.457536056052
27,32306.973711522,47.909634199539
27.3,32354.348013004,47.374301481246
27.6,32401.185730315,46.837717311289
27.9,32447.492609388,46.306879073512
28.2,32493.273573905,45.780964516372
28.5,32538.54479552,45.271221614865
28.8,32583.318386203,44.773590683115
29.1,32627.60093172,44.282545517068
29.4,32671.380819471,43.779887751029
29.7,32714.669332862,43.288513391508
30,32757.479521173,42.810188311087
30.3,32799.79613007,42.31660889669
30.6,32841.649546498,41.853416428232
30.9,32883.047280592,41.397734093713
31.2,32923.993535206,40.946254614209
31.5,32964.485831178,40.492295971861
31.8,33004.523847116,40.038015938262
32.1,33044.120319984,39.596472867444
32.4,33083.269625874,39.149305890256
32.7,33121.969852171,38.700226297122
33,33160.248676325,38.2788241534
33.3,33198.109524919,37.86084859386
33.6,33235.556540315,37.44701539672
33.9,33272.59361099,37.037070674371
34.2,33309.208889069,36.615278079415
34.5,33345.418799715,36.209910645652
34.8,33381.219270923,35.800471207978
35.1,33416.602178799,35.382907876185
35.4,33451.592412405,34.990233605648
35.7,33486.196438188,34.60402578317
36,33520.417753947,34.221315758979
36.3,33554.259542636,33.841788688944
36.6,33587.721538419,33.461995782971
36.9,33620.795582271,33.074043852212
37.2,33653.485676586,32.690094315461
37.5,33685.806717228,32.321040641851
37.8,33717.760794881,31.954077652757
38.1,33749.338521621,31.577726740186
38.4,33780.487378857,31.148857235661
38.7,33811.122577207,30.635198349992
39,33841.051729817,29.929152610217
39.3,33869.99001752,28.938287703219
39.6,33897.503696772,27.513679251926
39.9,33922.883584278,25.379887506242
40.2,33945.173309391,22.289725112576
40.3,33939.16726421,-6.0060451812678
40.4,33855.006823071,-84.160441138585
40.5,33263.458731727,-591.5480913436
40.6,30518.363245049,-2745.0954866787
40.7,10823.407722454,-19694.955522595
40.8,2168.0225502372,-8655.3851722168
40.9,1352.4689562055,-815.55359403169
41,1186.1309972363,-166.33795896918
41.1,1127.9716195279,-58.159377708337
41.2,1095.59995946,-32.371660067987
41.3,1071.9883526988,-23.611606761188
41.4,1051.9302753277,-20.058077371119
41.5,1033.8746168213,-18.055658506323
41.6,1017.1762007396,-16.698416081763
41.7,1001.4679781778,-15.708222561765
41.8,986.56735871359,-14.900619464212
