time,d,resid_x
0,0,0
0.01,0,77.055201624745
0.02,0,153.93456411508
0.03,0,230.63025793705
0.04,0,307.14296707739
0.05,0,361.72125377898
0.06,0,363.92173413837
0.07,0,365.4943538286
0.08,0,366.62039802152
0.09,0,367.4463842642
0.1,0,368.07184668327
0.11,0,368.56372405894
0.12,0,368.96670444447
0.13,0,369.31046764747
0.14,0,369.61465885134
0.15,0,369.89225625527
0.16,0,370.15182790533
0.17,0,370.39903284632
0.18,0,370.63761433147
0.19,0,370.87005456672
0.2,0,371.09800532797
0.21,0,371.32257082183
0.22,0,371.54449342665
0.23,0,371.7642757232
0.24,0,371.98226076601
0.25,0,372.19868498824
0.26,0,372.41371316737
0.27,0,372.62746160811
0.28,0,372.84001358063
0.29,0,373.05142965462
0.3,0,373.26175465127
0.31,0,373.47102235794
0.32,0,373.67925874544
0.33,0,373.88648418418
0.34,0,374.09271498548
0.35,0,374.2979644811
0.36,0,374.50224379422
0.37,0,374.70556238704
0.38,0,374.90792846345
0.39,0,375.10934926029
0.4,0,375.30983126647
0.41,0,375.50938038655
0.42,0,375.70800206279
0.43,0,375.90570137378
0.44,0,376.1024831023
0.45,0,376.29835179651
0.46,0,376.49331181262
0.47,0,376.68736735037
0.48,0,376.88052247817
0.49,0,377.07278116039
0.5,0,377.26414727037
0.51,0,377.4546246068
0.52,0,377.64421690368
0.53,0,377.83292783932
0.54,0,378.02076104627
0.55,0,378.20772011559
0.56,0,378.39380860017
0.57,0,378.57903002034
0.58,0,378.76338786914
0.59,0,378.94688560978
0.6,0,379.12952668154
0.61,0,379.31131450236
0.62,0,379.49225246662
0.63,0,379.67234394907
0.64,0,379.85159230496
0.65,0,380.03000087163
0.66,0,380.2075729685
0.67,0,380.38431189601
0.68,0,380.5602209408
0.69,0,380.7353033706
0.7,0,380.90956243728
0.71,0,381.08300137971
0.72,0,381.25562341796
0.73,0,381.42743175738
0.74,0,381.59842959058
0.75,0,381.76862009336
0.76,0,381.93800642572
0.77,0,382.10659173573
0.78,0,382.27437915697
0.79,0,382.44137180618
0.8,0,382.60757278694
0.81,2.6354751460979e-05,336.16095974613
0.82,4.6903863439072e-05,304.46496560054
0.83,6.3862651946689e-05,283.17281946169
0.84,7.8863808060852e-05,267.35455213873
0.85,9.2688334689668e-05,254.42400150533
0.86,0.00010559028069801,243.6310755277
0.87,0.00011777457581447,234.34571413322
0.88,0.00012942457999956,225.97199806463
0.89,0.00014060766767551,218.40845129957
0.9,0.00015140260608556,211.4869213728
0.91,0.00016187553555884,205.09003900386
0.92,0.00017208369030647,199.13372327264
0.93,0.00018208079093581,193.54141641585
0.94,0.0001919000023469,188.3079313343
0.95,0.00020158740315079,183.35355255718
0.96,0.00021117104295662,178.66241436821
0.97,0.00022067598801604,174.21022217483
0.98,0.00023012134739618,169.97646739065
0.99,0.00023951044431438,165.98593300806
1,0.00024888196531098,162.09740788914
1.01,0.00025820511719514,158.45706073774
1.02,0.00026749365594601,154.90791542157
1.03,0.00027669836214705,151.53738218372
1.04,0.00028586022509957,148.30019534919
1.05,0.00029497288108496,145.18243063878
1.06,0.00030402679056154,142.19339644733
1.07,0.00031302701915757,139.27647616825
1.08,0.00032196265822301,136.44486202157
1.09,0.00033082784479878,133.6889393305
1.1,0.00033961644244066,131.0011782173
1.11,0.00034831954535035,128.35536389756
1.12,0.00035691521049336,125.79581742467
1.13,0.00036543878941689,123.26489256743
1.14,0.00037388310594419,120.76682006725
1.15,0.00038225490485229,118.30165600456
1.16,0.00039055814937096,115.86370890511
1.17,0.00039879561800487,113.44592526044
1.18,0.00040697636727461,111.02431514172
1.19,0.00041508619868672,108.64295474438
1.2,0.00042314350629615,106.24448763941
1.21,0.00043115171501233,103.82206010522
1.22,0.00043909297926654,101.42407471211
1.23,0.00044698530809172,98.991671342216
1.24,0.00045482406450566,96.538300683725
1.25,0.00046261129664432,94.059417436824
1.26,0.00047035568398636,91.5258287998
1.27,0.00047808214767199,88.986356359486
1.28,0.00048575697770688,86.387878366886
1.29,0.00049337553544387,83.754963322606
1.3,0.00050094496278242,81.08482791753
